,comp_id,v1,v2,winner,suuid,username,license
0,1,35,125,35,5a4d97a5-31ad-41d9-8a3f-9328291fb820,alina,1
1,2,105,34,105,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
2,3,98,78,78,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
3,4,81,49,49,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
4,5,99,22,22,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
5,6,16,94,94,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
6,7,93,117,117,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
7,8,113,111,111,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
8,9,72,120,120,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
9,10,69,61,61,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
10,11,4,76,76,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
11,12,87,128,128,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
12,13,37,116,37,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
13,14,21,86,21,3af14cf9-9880-4f25-9a85-3a4b0064e96b,alina_u1,1
14,15,123,24,123,d6b22704-577a-42a3-b330-4797049d461b,alina,1
15,16,73,30,30,d6b22704-577a-42a3-b330-4797049d461b,alina,1
16,17,110,20,110,d6b22704-577a-42a3-b330-4797049d461b,alina,1
17,18,63,50,50,d6b22704-577a-42a3-b330-4797049d461b,alina,1
18,19,12,32,32,d6b22704-577a-42a3-b330-4797049d461b,alina,1
19,20,33,38,38,d6b22704-577a-42a3-b330-4797049d461b,alina,1
20,21,39,19,19,d6b22704-577a-42a3-b330-4797049d461b,alina,1
21,22,27,119,119,d6b22704-577a-42a3-b330-4797049d461b,alina,1
22,23,118,8,118,d6b22704-577a-42a3-b330-4797049d461b,alina,1
23,24,42,2,2,d6b22704-577a-42a3-b330-4797049d461b,alina,1
24,25,41,64,64,d6b22704-577a-42a3-b330-4797049d461b,alina,1
25,26,29,102,29,d6b22704-577a-42a3-b330-4797049d461b,alina,1
26,27,54,58,58,d6b22704-577a-42a3-b330-4797049d461b,alina,1
27,28,126,55,55,d6b22704-577a-42a3-b330-4797049d461b,alina,1
28,29,28,47,47,d6b22704-577a-42a3-b330-4797049d461b,alina,1
29,30,15,46,46,d6b22704-577a-42a3-b330-4797049d461b,alina,1
30,31,60,51,51,e50ef33c-250a-460b-94b5-e1031bbf4197,alina,1
31,32,68,84,68,e50ef33c-250a-460b-94b5-e1031bbf4197,alina,1
32,33,66,53,53,e50ef33c-250a-460b-94b5-e1031bbf4197,alina,1
33,34,56,79,56,e50ef33c-250a-460b-94b5-e1031bbf4197,alina,1
34,35,74,90,74,e50ef33c-250a-460b-94b5-e1031bbf4197,alina,1
35,36,65,9,65,e50ef33c-250a-460b-94b5-e1031bbf4197,alina,1
